Symbol,unit,lot_size,pip_size,Digits,LotSize,PipSize,VolumeInUnitsMin,VolumeInUnitsMax,VolumeInUnitsStep,Spread,TickSize,TickValue,SwapLong,SwapShort
Bunzl_(BNZL.L),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
Burberry_Group_(BRBY.L),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
BWP_Trust_(BWP.AX),USD,1,0,3,1,0,0,0,0,не число,0,0,0,0
Cancom_SE_(COK.DE),USD,1,0,2,1,0,0,0,0,не число,0,0,0,0
Capco_(CAPC.L),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
Carl_Zeiss_Meditec_(AFX.DE),USD,1,0,2,1,0,0,0,0,не число,0,0,0,0
Carnival_(CCL.L),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
Carsales.com_(CAR.AX),USD,1,0,3,1,0,0,0,0,не число,0,0,0,0
Centrica_(CNA.L),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
Challenger_Ltd_(CGF.AX),USD,1,0,3,1,0,0,0,0,не число,0,0,0,0
Charter_Hall_Group_(CHC.AX),USD,1,0,3,1,0,0,0,0,не число,0,0,0,0
Charter_Hall_LWR_FP_(CLW.AX),USD,1,0,3,1,0,0,0,0,не число,0,0,0,0
Charter_Hall_Retail_(CQR.AX),USD,1,0,3,1,0,0,0,0,не число,0,0,0,0
Chorus_Ltd_(CNU.AX),USD,1,0,3,1,0,0,0,0,не число,0,0,0,0
Cimic_Group_Ltd_(CIM.AX),USD,1,0,3,1,0,0,0,0,не число,0,0,0,0
Cleanaway_Waste_Ltd_(CWY.AX),USD,1,0,3,1,0,0,0,0,не число,0,0,0,0
Clinuvel_Pharmaceut_(CUV.AX),USD,1,0,3,1,0,0,0,0,не число,0,0,0,0
Coca-Cola_HBC_(CCH.L),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
Cochlear_Ltd_(COH.AX),USD,1,0,3,1,0,0,0,0,не число,0,0,0,0
Coles_Group_Ltd_(COL.AX),USD,1,0,3,1,0,0,0,0,не число,0,0,0,0
Collins_Food_Ltd_(CKF.AX),USD,1,0,3,1,0,0,0,0,не число,0,0,0,0
Commerzbank_AG_(CBK.DE),USD,1,0,2,1,0,0,0,0,не число,0,0,0,0
Compass_Group_(CPG.L),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
CompuGroup_Medical_(COP.DE),USD,1,0,2,1,0,0,0,0,не число,0,0,0,0
Computacenter_PLC_(CCC.L),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
Computershare_Ltd_(CPU.AX),USD,1,0,3,1,0,0,0,0,не число,0,0,0,0
Continental_(CON.DE),USD,1,0,2,1,0,0,0,0,не число,0,0,0,0
Convatec_Group_PLC_(CTEC.L),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
CooperEnergy_Ltd_(COE.AX),USD,1,0,3,1,0,0,0,0,не число,0,0,0,0
Copper_Miners_ETF_(COPX.P),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
Corp_Travel_Ltd_(CTD.AX),USD,1,0,3,1,0,0,0,0,не число,0,0,0,0
Costa_Group_Hldgs_(CGC.AX),USD,1,0,3,1,0,0,0,0,не число,0,0,0,0
Covestro_AG_(COV.DE),USD,1,0,2,1,0,0,0,0,не число,0,0,0,0
Cranswick_PLC_(CWK.L),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
Credit_Corp_Group_(CCP.AX),USD,1,0,3,1,0,0,0,0,не число,0,0,0,0
Crocs_Inc_(CROX.O),USD,1,0,2,1,0,0,0,0,не число,0,0,0,0
Croda_(CRDA.L),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
Cromwell_Property_(CMW.AX),USD,1,0,3,1,0,0,0,0,не число,0,0,0,0
Crown_Resorts_Ltd_(CWN.AX),USD,1,0,3,1,0,0,0,0,не число,0,0,0,0
CSL_Ltd_(CSL.AX),USD,1,0,3,1,0,0,0,0,не число,0,0,0,0
CSR_Ltd_(CSR.AX),USD,1,0,3,1,0,0,0,0,не число,0,0,0,0
CTS_Eventim_AG_(EVD.DE),USD,1,0,2,1,0,0,0,0,не число,0,0,0,0
Daimler_AG_(DAI.DE),USD,1,0,2,1,0,0,0,0,не число,0,0,0,0
DCC_(DCC.L),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
Genus_PLC_(GNS.L),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
Dechra_Pharmac_(DPH.L),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
Delivery_Hero_(DHR.DE),USD,1,0,2,1,0,0,0,0,не число,0,0,0,0
DermTech_(DMTK.O),USD,1,0,2,1,0,0,0,0,не число,0,0,0,0
Derwent_London_PLC_(DLN.L),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
Deutsche_Bank_AG_(DBK.DE),USD,1,0,2,1,0,0,0,0,не число,0,0,0,0
Deutsche_Boerse_(DB1.DE),USD,1,0,2,1,0,0,0,0,не число,0,0,0,0
Deutsche_Telekom_(DTE.DE),USD,1,0,2,1,0,0,0,0,не число,0,0,0,0
Dexus_Property_Grp_(DXS.AX),USD,1,0,3,1,0,0,0,0,не число,0,0,0,0
Diageo_(DGE.L),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
Digital_World_Acq._(DWAC.O),USD,1,0,2,1,0,0,0,0,не число,0,0,0,0
Diploma_PLC_(DPLM.L),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
Direct_Line_Grp_(DLG.L),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
Dividend_ETF_(SDY.P),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
Dixons_Carphone_PLC_(DC.L),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
Domain_Hldgs_Aust._(DHG.AX),USD,1,0,3,1,0,0,0,0,не число,0,0,0,0
Domino_PIZZA_Ent._(DMP.AX),USD,1,0,3,1,0,0,0,0,не число,0,0,0,0
Dominos_Pizza_Grp_(DOM.L),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
Downer_Edi_Ltd_(DOW.AX),USD,1,0,3,1,0,0,0,0,не число,0,0,0,0
Drax_Group_PLC_(DRX.L),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
Dropbox_(DBX.O),USD,1,0,2,1,0,0,0,0,не число,0,0,0,0
DS_Smith_(SMDS.L),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
Dunelm_Group_PLC_(DNLM.L),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
Durr_AG_(DUE.DE),USD,1,0,2,1,0,0,0,0,не число,0,0,0,0
E.ON_SE_(EON.DE),USD,1,0,2,1,0,0,0,0,не число,0,0,0,0
EasyJet_(EZJ.L),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
USDRUB,USD,100000,0,5,100000,0,0,0,0,не число,0,0,0,0
Elders_Limited_(ELD.AX),USD,1,0,3,1,0,0,0,0,не число,0,0,0,0
Electrocomponents_(ECM.L),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
EM_Dividend_ETF_(EDIV.P),USD,1,0,4,1,0,0,0,0,не число,0,0,0,0
