Ticker,OriginalSymbol,Unit,LotSize,PipSize
BNZL.L,Bunzl_(BNZL.L),EUR,1,0
BRBY.L,Burberry_Group_(BRBY.L),EUR,1,0
BWP.AX,BWP_Trust_(BWP.AX),USD,1,0
COK.DE,Cancom_SE_(COK.DE),EUR,1,0
CAPC.L,Capco_(CAPC.L),EUR,1,0
AFX.DE,Carl_Zeiss_Meditec_(AFX.DE),EUR,1,0
CCL.L,Carnival_(CCL.L),EUR,1,0
CAR.AX,Carsales.com_(CAR.AX),USD,1,0
CNA.L,Centrica_(CNA.L),EUR,1,0
CGF.AX,Challenger_Ltd_(CGF.AX),USD,1,0
CHC.AX,Charter_Hall_Group_(CHC.AX),USD,1,0
CLW.AX,Charter_Hall_LWR_FP_(CLW.AX),USD,1,0
CQR.AX,Charter_Hall_Retail_(CQR.AX),USD,1,0
CNU.AX,Chorus_Ltd_(CNU.AX),USD,1,0
CIM.AX,Cimic_Group_Ltd_(CIM.AX),USD,1,0
CWY.AX,Cleanaway_Waste_Ltd_(CWY.AX),USD,1,0
CUV.AX,Clinuvel_Pharmaceut_(CUV.AX),USD,1,0
CCH.L,Coca-Cola_HBC_(CCH.L),EUR,1,0
COH.AX,Cochlear_Ltd_(COH.AX),USD,1,0
COL.AX,Coles_Group_Ltd_(COL.AX),USD,1,0
CKF.AX,Collins_Food_Ltd_(CKF.AX),USD,1,0
CBK.DE,Commerzbank_AG_(CBK.DE),EUR,1,0
CPG.L,Compass_Group_(CPG.L),EUR,1,0
COP.DE,CompuGroup_Medical_(COP.DE),EUR,1,0
CCC.L,Computacenter_PLC_(CCC.L),EUR,1,0
CPU.AX,Computershare_Ltd_(CPU.AX),USD,1,0
CON.DE,Continental_(CON.DE),EUR,1,0
CTEC.L,Convatec_Group_PLC_(CTEC.L),EUR,1,0
COE.AX,CooperEnergy_Ltd_(COE.AX),USD,1,0
COPX.P,Copper_Miners_ETF_(COPX.P),USD,1,0
CTD.AX,Corp_Travel_Ltd_(CTD.AX),USD,1,0
CGC.AX,Costa_Group_Hldgs_(CGC.AX),USD,1,0
COV.DE,Covestro_AG_(COV.DE),EUR,1,0
CWK.L,Cranswick_PLC_(CWK.L),EUR,1,0
CCP.AX,Credit_Corp_Group_(CCP.AX),USD,1,0
CROX.O,Crocs_Inc_(CROX.O),USD,1,0
CRDA.L,Croda_(CRDA.L),EUR,1,0
CMW.AX,Cromwell_Property_(CMW.AX),USD,1,0
CWN.AX,Crown_Resorts_Ltd_(CWN.AX),USD,1,0
CSL.AX,CSL_Ltd_(CSL.AX),USD,1,0
CSR.AX,CSR_Ltd_(CSR.AX),USD,1,0
EVD.DE,CTS_Eventim_AG_(EVD.DE),EUR,1,0
DAI.DE,Daimler_AG_(DAI.DE),EUR,1,0
DCC.L,DCC_(DCC.L),EUR,1,0
GNS.L,Genus_PLC_(GNS.L),EUR,1,0
DPH.L,Dechra_Pharmac_(DPH.L),EUR,1,0
DHR.DE,Delivery_Hero_(DHR.DE),EUR,1,0
DMTK.O,DermTech_(DMTK.O),USD,1,0
DLN.L,Derwent_London_PLC_(DLN.L),EUR,1,0
DBK.DE,Deutsche_Bank_AG_(DBK.DE),EUR,1,0
DB1.DE,Deutsche_Boerse_(DB1.DE),EUR,1,0
DTE.DE,Deutsche_Telekom_(DTE.DE),EUR,1,0
DXS.AX,Dexus_Property_Grp_(DXS.AX),USD,1,0
DGE.L,Diageo_(DGE.L),EUR,1,0
DWAC.O,Digital_World_Acq._(DWAC.O),USD,1,0
DPLM.L,Diploma_PLC_(DPLM.L),EUR,1,0
DLG.L,Direct_Line_Grp_(DLG.L),EUR,1,0
SDY.P,Dividend_ETF_(SDY.P),USD,1,0
DC.L,Dixons_Carphone_PLC_(DC.L),EUR,1,0
