SCHEMA,OBJECT_TYPE,OBJECT_NAME,COLUMN_NAME,PRIMARY_KEY,FOREIGN_KEY,UNIQUE_KEY,DATA_TYPE,NULLABLE,DEFAULT_VALUE,OBJECT_FULL_NAME
meta,VIEW,_U_V_IF_TF_OBJECT_v,SCHEMA,NO,NO,NO,nvarchar(256),YES,,cTrader.meta._U_V_IF_TF_OBJECT_v
meta,VIEW,_U_V_IF_TF_OBJECT_v,OBJECT_TYPE,NO,NO,NO,nvarchar(120),YES,,cTrader.meta._U_V_IF_TF_OBJECT_v
meta,VIEW,_U_V_IF_TF_OBJECT_v,OBJECT_NAME,NO,NO,NO,sysname,NO,,cTrader.meta._U_V_IF_TF_OBJECT_v
meta,VIEW,_U_V_IF_TF_OBJECT_v,COLUMN_NAME,NO,NO,NO,sysname,YES,,cTrader.meta._U_V_IF_TF_OBJECT_v
meta,VIEW,_U_V_IF_TF_OBJECT_v,PRIMARY_KEY,NO,NO,NO,varchar(3),NO,,cTrader.meta._U_V_IF_TF_OBJECT_v
meta,VIEW,_U_V_IF_TF_OBJECT_v,FOREIGN_KEY,NO,NO,NO,varchar(3),NO,,cTrader.meta._U_V_IF_TF_OBJECT_v
meta,VIEW,_U_V_IF_TF_OBJECT_v,UNIQUE_KEY,NO,NO,NO,varchar(3),NO,,cTrader.meta._U_V_IF_TF_OBJECT_v
meta,VIEW,_U_V_IF_TF_OBJECT_v,DATA_TYPE,NO,NO,NO,nvarchar(382),YES,,cTrader.meta._U_V_IF_TF_OBJECT_v
meta,VIEW,_U_V_IF_TF_OBJECT_v,NULLABLE,NO,NO,NO,varchar(3),NO,,cTrader.meta._U_V_IF_TF_OBJECT_v
meta,VIEW,_U_V_IF_TF_OBJECT_v,DEFAULT_VALUE,NO,NO,NO,nvarchar,NO,,cTrader.meta._U_V_IF_TF_OBJECT_v
trd,TABLE,account,ID,YES,NO,NO,int,NO,,cTrader.trd.account
trd,TABLE,account,accountNumber,NO,NO,YES,varchar(50),NO,,cTrader.trd.account
trd,TABLE,account,accountTypeID,NO,YES,NO,int,NO,,cTrader.trd.account
trd,TABLE,account,platformID,NO,YES,YES,int,NO,,cTrader.trd.account
trd,TABLE,account,brokerID,NO,YES,YES,int,NO,,cTrader.trd.account
trd,TABLE,account,clientID,NO,YES,NO,int,NO,,cTrader.trd.account
trd,TABLE,account,currencyID,NO,YES,NO,int,NO,,cTrader.trd.account
trd,TABLE,account,modifiedDate,NO,NO,NO,datetime,NO,(getdate()),cTrader.trd.account
trd,TABLE,accountType,ID,YES,NO,NO,int,NO,,cTrader.trd.accountType
trd,TABLE,accountType,typeCode,NO,NO,YES,varchar(20),NO,,cTrader.trd.accountType
trd,TABLE,accountType,typeName,NO,NO,NO,nvarchar(200),NO,,cTrader.trd.accountType
trd,TABLE,accountType,description,NO,NO,NO,nvarchar(1000),YES,,cTrader.trd.accountType
trd,TABLE,accountType,leverage,NO,NO,NO,"decimal(10,2)",YES,,cTrader.trd.accountType
trd,TABLE,accountType,minDeposit,NO,NO,NO,"decimal(18,2)",YES,,cTrader.trd.accountType
tms,TABLE,activeTickers,tickerJID,NO,YES,NO,int,YES,,cTrader.tms.activeTickers
